,rest_name,rest_category,rest_number,rest_address,rest_location,rest_rating,rest_density
3025,(주)토종맛집 대치점,한식,02  554 5569,서울특별시 강남구 대치동 956-4번지 드림 빌딩 ,"[37.5060413, 127.059692]",88.73,55.18
3026,반미 홍호아,기타,02  566 0705,서울특별시 강남구 역삼동 824-11번지 한라클래식오피스텔 ,"[37.4971279, 127.030383]",87.22,71.2
3027,일 피아또,경양식,02  517 8988,서울특별시 강남구 신사동 561-35번지 ,"[37.5196043, 127.0259385]",65.42,26.35
3028,카페코넌,기타,02  63338600,서울특별시 강남구 논현동 236-14번지 ,"[37.50845, 127.0361229]",71.63,55.84
3029,나의가야,한식,02  548 7537,서울특별시 강남구 삼성동 159-7번지 현대백화점 ,"[37.50860960000001, 127.0598731]",83.3,14.86
3031,오세안양갈비 세곡직영점,한식,02  451 7988,서울특별시 강남구 세곡동 600번지 더좋은빌딩 ,"[37.466886, 127.097387]",85.8,62.73
3032,로칼즈(LOKALZ),기타,02  555 3066,서울특별시 강남구 청담동 62-5번지 ,"[37.5229213, 127.0492997]",94.1,35.22
3033,멜로워(Mellower),기타,02  464 1112,서울특별시 강남구 역삼동 706-19,"[37.5023351, 127.044391]",68.66,35.85
3034,피자몰 강남역점,뷔페식,02  62054296,서울특별시 강남구 역삼동 815번지 점프밀라노 ,"[37.5012103, 127.0266055]",93.5,38.54
3035,피키이터 역삼점,경양식,02  558 5465,서울특별시 강남구 역삼동 736-58번지 대세빌딩 ,"[37.4992135, 127.0359171]",76.17,86.88
3036,차이(Chai)797 삼성점,중국식,02  557 7972,서울특별시 강남구 삼성동 154-8번지 씨엔드에치빌딩 ,"[37.5099622, 127.0578594]",87.05,62.05
3037,씨지브이 압구정1,기타,02  34460105,서울특별시 강남구 신사동 603-2번지 ,"[37.5245371, 127.0288351]",88.65,43.87
3038,주식회사 담희,한식,02  557 9247,서울특별시 강남구 역삼동 636-7번지 ,"[37.5015068, 127.0316363]",54.23,28.16
3039,플라워베이커리카페,경양식,02  22831345,서울특별시 강남구 신사동 517-5번지 ,"[37.5188822, 127.0210994]",58.96,7.24
3040,폴바셋 일원역점,기타,02  20563029,서울특별시 강남구 일원동 717번지 삼성생명 일원동 빌딩 ,"[37.4890175, 127.0824833]",91.93,54.64
3041,빌라 드 스파이시,분식,02  518 1913,서울특별시 강남구 청담동 3번지 삼성생명 ,"[37.507996, 127.0627848]",69.93,13.24
3042,리마장82,중국식,02  61775250,서울특별시 강남구 논현동 236-8번지 글래드라이브호텔 ,"[37.5083545, 127.0363515]",81.6,67.16
